date,country_code,new_tested,new_confirmed,new_deceased,new_recovered,recovery_rate
2021-03-31,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,597100081468751097286985363412811158755,2484,93,0,26.70967741935484
2021-04-30,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,382528680136617301722328417381264189711651364147012049741286138912298001907172216961603111312811207562125218621334,12662,222,0,57.03603603603604
2021-05-31,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,55241814861000724537803435802302573274471821619460241384120675434262202453973761574600907868573,3789,180,0,21.05
2021-06-30,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,4135034003275873662754814052881228504595176144705175985762347137,636,52,0,12.23076923076923
2021-07-31,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,6451841485194041561002012355113141983024151725073323943945634605621731241230245471791063261170,546,38,0,14.368421052631579
2021-08-31,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,652197211528506306525779779219578329,69,5,0,13.8
2021-09-30,MGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMGMG,693,5,0,0,100.0
